"id","temp_humidity","temp_pressure","pressure","humidity","pitch","roll","yaw","compass_x","compass_y","compass_z","acc_x","acc_y","acc_z","gyro_x","gyro_y","gyro_z","capture_time","capture_timestamp","status","comment"
"90","36.9532","36.8458","1013.05","35.1043","283.394","17.4832","352.269","2.38191","-1.0305","-28.6407","0.272899","0.218201","0.988191","-1.96993","1.56492","0.0878","2015-12-08 14:53:33","1449557613448","Synced","Normal Walk"
"91","36.9892","38.6021","1013.05","35.039","302.798","13.3251","338.183","4.53831","-3.67912","-31.2049","0.131108","0.287541","0.960653","0.6684","-0.29303","-0.6993","2015-12-08 14:53:33","1449557613654","Synced","Normal Walk"
"92","36.8452","36.8438","1013.05","34.1454","279.215","18.538","343.431","3.50301","-5.97294","-30.08","0.27824","0.260629","0.927267","0.395649","-0.0499051","-0.317815","2015-12-08 14:53:33","1449557613858","Synced","Normal Walk"
"93","36.9532","36.8396","1013.06","35.0218","212.861","8.23491","5.63461","2.00637","-6.66544","-28.3484","0.191078","-0.0814558","0.982342","0.381599","0.192914","0.125063","2015-12-08 14:53:34","1449557614067","Synced","Normal Walk"
"94","37.0432","36.8333","1013.05","34.8912","202.016","8.4431","9.47081","0.431898","-6.34304","-25.9017","0.185494","-0.148101","0.874872","0.966197","0.301342","0.326037","2015-12-08 14:53:34","1449557614273","Synced","Normal Walk"
"95","36.8812","36.8333","1013.07","35.2349","213.866","20.9728","21.7668","0.106935","-5.50282","-26.4466","0.432414","-0.286083","0.689906","-0.13275","1.38196","1.46866","2015-12-08 14:53:34","1449557614477","Synced","Normal Walk"
"96","36.8632","36.8333","1013.08","35.3002","258.723","54.4391","359.541","-4.54182","-4.21866","-28.2579","0.807285","0.136255","0.400638","-0.0362329","4.17178","2.983","2015-12-08 14:53:34","1449557614726","Synced","Normal Walk"
"97","36.8632","36.8333","1013.08","35.2659","266.726","70.3806","344.455","-9.46727","-6.27024","-26.6416","1.01293","0.332151","0.414528","-0.0521154","-0.829064","0.934459","2015-12-08 14:53:34","1449557614927","Synced","Normal Walk"
"98","36.9172","39.6667","1013.09","33.9941","261.694","84.7082","342.354","-10.7458","-8.20878","-27.2514","1.34167","0.416765","0.151579","-0.886557","0.502012","0.29641","2015-12-08 14:53:35","1449557615133","Synced","Normal Walk"
"99","36.9712","36.8354","1013.1","35.644","276.888","57.3833","337.664","-9.60318","-7.11258","-27.9305","0.521518","0.407794","0.287319","-0.284244","0.501401","-0.788486","2015-12-08 14:53:35","1449557615337","Synced","Normal Walk"
